,sona,subject,set,Q1 Median,Q2 Median,Q3 Median,Q1,Q2,Q3,Q1 Mean,Q2 Mean,Q3 Mean,Q1 responses,Q2 responses,Q3 responses,Q1 RT,Q2 RT,Q3 RT,subject_gender,subject_age,understood task
77,36210,SSSQ0113,0 2 3 5 8,3.0,2.5,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,2.5,3.0,10,10,10,975.5,455.0,381.0,Female,20,True
78,36210,SSSQ0113,0 2 3 6 7,3.5,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,2.8,3.1,10,10,10,649.5,318.5,271.0,Female,20,True
79,36210,SSSQ0113,0 2 3 6 8,2.5,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,2.9,3.1,10,10,10,882.0,298.0,293.5,Female,20,True
80,36210,SSSQ0113,0 2 4 5 7,3.5,2.5,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.2,2.7,3.2,10,10,10,1089.5,185.0,278.5,Female,20,True
81,36210,SSSQ0113,0 2 4 6 7,3.0,3.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,3.0,3.2,10,10,10,788.0,301.5,304.5,Female,20,True
82,36210,SSSQ0113,0 2 4 6 8,3.0,3.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,3.0,2.4,10,10,10,712.5,288.0,367.0,Female,20,True
83,36210,SSSQ0113,0 2 4 6 9,2.0,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.5,2.9,3.0,10,10,10,862.5,301.5,289.5,Female,20,True
84,36210,SSSQ0113,0 2 5 6 7,2.0,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,3.0,3.0,10,10,10,834.5,343.5,276.0,Female,20,True
85,36210,SSSQ0113,0 2 5 6 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,2.9,3.8,10,10,10,611.0,233.5,216.5,Female,20,True
86,36210,SSSQ0113,0 3 4 5 6,2.5,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.6,2.9,2.5,10,10,10,879.0,365.0,325.5,Female,20,True
87,36210,SSSQ0113,0 3 4 6 7,3.0,2.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.5,2.4,3.5,10,10,10,678.5,267.0,327.0,Female,20,True
88,36247,SSSQ0294,0 1 2 4 5,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.3,3.1,10,10,10,499.0,326.0,966.5,Female,20,True
89,36247,SSSQ0294,0 1 2 5 6,2.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.4,4.0,3.0,10,10,10,1227.0,994.0,1287.0,Female,20,True
90,36247,SSSQ0294,0 1 2 5 8,2.5,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.6,4.1,2.7,10,10,10,1869.5,330.0,763.0,Female,20,True
91,36247,SSSQ0294,0 1 2 6 8,2.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.6,4.4,2.9,10,10,10,2532.0,310.0,900.5,Female,20,True
92,36247,SSSQ0294,0 1 3 4 8,3.0,5.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,4.7,4.1,10,10,10,1703.5,606.0,880.5,Female,20,True
93,36247,SSSQ0294,0 1 3 5 6,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,3.9,2.9,10,10,10,1536.0,453.5,1130.5,Female,20,True
94,36247,SSSQ0294,0 1 3 6 7,2.5,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.6,4.3,3.1,10,10,10,2046.0,543.0,1452.0,Female,20,True
95,36247,SSSQ0294,0 1 3 6 8,3.5,4.5,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,4.5,3.7,10,10,10,857.5,377.5,314.5,Female,20,True
96,36247,SSSQ0294,0 1 4 5 7,3.5,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.9,4.2,2.6,10,10,10,1546.5,414.5,997.0,Female,20,True
97,36247,SSSQ0294,0 1 5 6 7,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.8,4.3,3.2,10,10,10,871.5,390.0,487.0,Female,20,True
98,36247,SSSQ0294,0 2 3 4 7,3.5,4.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.3,3.5,10,10,10,1073.5,333.0,838.5,Female,20,True
99,36247,SSSQ0294,0 2 3 6 7,2.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.0,4.1,2.7,10,10,10,1497.5,504.5,510.5,Female,20,True
100,36247,SSSQ0294,0 2 3 6 9,2.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.2,4.1,3.1,10,10,10,1642.5,749.0,1535.5,Female,20,True
101,36247,SSSQ0294,0 2 3 7 8,3.0,5.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.2,4.6,3.2,10,10,10,886.0,426.0,948.0,Female,20,True
102,36247,SSSQ0294,0 2 4 6 7,2.0,4.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.7,4.3,3.3,10,10,10,2053.0,423.0,981.5,Female,20,True
103,36247,SSSQ0294,0 2 4 6 8,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.3,2.8,10,10,10,1516.0,608.5,909.0,Female,20,True
104,36247,SSSQ0294,0 2 4 6 9,3.5,4.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,4.4,3.3,10,10,10,1868.0,499.5,1132.0,Female,20,True
105,36247,SSSQ0294,0 2 5 6 7,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.7,4.2,2.7,10,10,10,1457.5,366.0,549.5,Female,20,True
106,36247,SSSQ0294,0 2 5 7 8,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.7,4.4,3.3,10,10,10,1107.0,391.5,463.0,Female,20,True
107,36247,SSSQ0294,0 3 4 5 7,3.0,4.5,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,4.5,3.4,10,10,10,1517.0,336.5,470.0,Female,20,True
108,36247,SSSQ0294,0 3 5 6 7,2.0,4.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.4,4.1,2.6,10,10,10,910.5,364.0,576.5,Female,20,True
109,36247,SSSQ0294,0 3 5 7 8,3.5,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,4.2,3.5,10,10,10,1658.0,513.5,883.5,Female,20,True
110,36700,SSSQ0020,0 1 2 3 5,4.0,2.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,4.0,2.6,2.9,10,10,10,1282.5,264.5,540.0,Female,20,True
111,36700,SSSQ0020,0 1 2 4 5,4.0,2.5,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,4.0,2.9,3.2,10,10,10,1055.5,251.5,727.5,Female,20,True
